ROTACI”N DUANA;;;;;;
MEDICAMENTO;MOLECULA;PROMEDIO MES;STOCK FARMACIA;PEDIDO 60 DIAS;;STOCK BODEGA
CROMOGLICATO DE SODIO 4% SOLUCION NASAL | FRASCO X 10ML. EXPOFARMA;CROMOGLICATO DE SODIO;18;34;2;;1179
CROMOGLICATO DE SODIO 4% SOLUCION OFTALMICAS | FRASCO X 5ML. EXPOFARMA;CROMOGLICATO DE SODIO;146;272;20;;5801
CROTAMITON  10% LOCION | FRASCO X 60 ML. HUMAX;CROTAMITON;4;20;0;;345
CUPRIPEN 250MG TABLETA O CAPSULA | CAJA X 30. SYNTHESIS;PENICILAMINA;45;120;0;;640
CURAM 500MG/125MG TABLETA | CAJA X 12. NOVARTIS;AMOXICILINA+ACIDO CLAVULANICO;15;42;0;;5791
CURASORB 10 X 10 REF:9236 CX10 1 UNIDAD | . X 1. COVIDIEN COLOMBIA S.A;CURACIONES QUIRURGICAS;12;25;0;;74
CYMBALTA 30MG CAPSULA DE LIBERACION PROGRAMADA | CAJA X 7. LILLY;DULOXETINA;14;28;0;;56
DAFLON 500mg TABLETA | CAJA X 30. LABORATORIOS SERVIER DE COLOMB;DIOSMINA + HESPERIDINA;1988;4620;0;;186734
DEFLAZACOR 30mg TABLETA | CAJA X 10. GEN-FAR S.A;DEFLAZACOR;290;370;210;;12885
DEFLAZACOR 6mg TABLETA | CAJA X 10. GEN-FAR S.A;DEFLAZACOR;2663;4250;1076;;113454
DELIFON 5MG/5ML SUSPENSION ORAL | FRASCO X 120ML. BEST LTDA;OXIBUTININO;0;3;0;;144
DEPAKENE 250mg/5mL SUSPENSION ORAL | FRASCO X 120mL. ABBOTT;VALPROICO ACIDO;0;7;0;;116
DEPAKENE 250mg TABLETA O CAPSULA | CAJA X 50. ABBOTT;VALPROICO ACIDO;125;150;100;;224
DEPO-MEDROL 40mg/mL SUSPENSION INYECTABLE | FRASCO X 1mL. PFIZER;METILPREDNISOLONA ACETATO;1;3;0;;5
DEPOTRIM 50MG/ML  SUSPENSION INYECTABLE | CAJA X 1. LAFRANCOL;MEDROXIPROGESTERONA ACETATO;7;14;0;;3101
DESLORATADINA 5MG TABLETA | CAJA X 10. GEN-FAR S.A;DESLORATADINA;209;347;71;;49990
DESONIDA 0.1% LOCION | FRASCO X 30ML. SCANDINAVIA;DESONIDA;6;8;4;;325
DETRUSITOL 2MG TABLETA | CAJA X 28. PFIZER;TOLTERODINA;1658;2628;688;;5118
DEXAMETASONA 4MG SOLUCION INYECTABLE | CAJA X 25. PROCAPS;DEXAMETASONA;33;76;0;;34050
DEXAMETASONA 8mg/2mL SOLUCION INYECTABLE | CAJA X 1. PROCAPS;DEXAMETASONA;80;153;7;;44949
DEXAVITAL 3mg/1ml SOLUCION OFTALMICAS | FRASCO X 5mL. VITALIS;TOBRAMICINA+DEXAMETASONA;9;29;0;;1456
DIAZEPAM 10MG TABLETA O CAPSULA | CAJA X 250. ECAR;DIAZEPAM;0;30;0;;3157
DICLOFENACO 50MG TABLETA | CAJA X 250. ECAR;DICLOFENACO;88;325;0;;70210
DICLOFENACO 50MG TABLETA RECUBIERTA | CAJA X 300. LAPROFF;DICLOFENACO;274;970;0;;785
DICLOFENACO 75 MG SOLUCION INYECTABLE | CAJA X 10. VITALIS;DICLOFENACO;179;390;0;;21941
DICLOXACILINA 250MG/5ML SUSPENSION ORAL | FRASCO X 80ML. GEN-FAR S.A;DICLOXACILINA;0;3;0;;658
DICLOXACILINA 250MG/5ML SUSPENSION ORAL | FRASCO X 80ML. LA SANTE;DICLOXACILINA;2;3;1;;5
DICLOXACILINA 500MG CAPSULA | CAJA X 50. LA SANTE;DICLOXACILINA;325;450;200;;2011
DIETYSOLONE PLUS 10MG+1.2MG/ML SOLUCION OFTALMICAS | FRASCO X 5ML. RIDHI PHARMA;PREDNISOLONA + FENILEFRINA;0;3;0;;850
DIFENHIDRAMINA 50MG CAPSULA | CAJA X 50. EUROPACK;DIFENHIDRAMINA;253;466;40;;51161
DIHIDROCODEINA 12,1 MG / 5 ML JARABE | FRASCO X 120ML. WINTHROOP;DIHIDROCODEINA BITARTRATO;13;30;0;;12804
DILTIAZEM 60MG TABLETA | CAJA X 20. GEN-FAR S.A;DILTIAZEM;390;1000;0;;77180
DILTIAZEM RETARD 180MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 10. GEN-FAR S.A;DILTIAZEM;90;245;0;;74260
DILTIAZEM RETARD 90MG TABLETA | CAJA X 10. GEN-FAR S.A;DILTIAZEM;90;220;0;;129630
DIMARD 200mg TABLETA | CAJA X 20. SIEGFRIED;HIDROXICLOROQUINA;0;1540;0;;34650
DIMARD 400MG TABLETA | CAJA X 20. SIEGFRIED;HIDROXICLOROQUINA;150;260;40;;8220
DIMETIL SULFOXIDO 50% SOLUCION INYECTABLE | FRASCO X 50mL. ROPIM ROBERTO;DIMETILPOLISILOXANO + PAPAVERINA;1;0;2;;0
DINITRATO ISOSORBIDA 10mg TABLETA | CAJA X 300. LAPROFF;ISOSORBIDE DINITRATO;90;20;160;;5141
DINITRATO ISOSORBIDA 10mg TABLETA | CAJA X 30. COASPHARMA;ISOSORBIDE DINITRATO;0;300;0;;90035
DIPIRONA 500MG TABLETA | CAJA X 500. ECAR;DIPIRONA;0;100;0;;410
DIPIRONA MAGNESICA 2 GR/5 ML SOLUCION INYECTABLE | CAJA X 10. PROCAPS;DIPIRONA;0;3;0;;16020
DIPIRONA SODICA 1 GR/2 ML SOLUCION INYECTABLE | CAJA X 100. PROCAPS;DIPIRONA;0;3;0;;65715
DISLEP 25mg TABLETA RECUBIERTA | CAJA X 20. BIOTOSCANA;LEVOSULPIRIDE;95;170;20;;440
DOLAC  500MG+30MG TABLETA | CAJA X 250. DUMIAN MEDICAL S.A.S;ACETAMINOFEN+CODEINA;17216;11632;22800;;66090
DOMPERIDONA 10MG TABLETA | CAJA X 20. GEN-FAR S.A;DOMPERIDONA;1108;1825;391;;25550
DOMPERIDONA 1MG/ML SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A;DOMPERIDONA;10;29;0;;1602
DORIXINA RELAX 5/125MG TABLETA | CAJA X 100. SCANDINAVIA;CLONIXINATO DE LISINA+CICLOBENZAPRINA;135;180;90;;26120
DORPRETIM 2%-5% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;TIMOLOL+DORZOLAMIDA;116;54;178;;3286
DORZOLAM 20 MG X 5 ML SOLUCION OFTALMICAS | FRASCO X 1. TECNOQUIMICAS;DORZOLAMIDA;15;24;6;;766
DOXICICLINA 100MG TABLETA O CAPSULA | CAJA X 10. WINTHROOP;DOXICICLINA;342;1060;0;;184680
DRUGTECH NEURACTIN 250MG TABLETA | CAJA X 30. GYNOPHARMA;DIVALPROATO DE SODIO;1065;2310;0;;48920
DRUGTECH NEURACTIN 500MG TABLETA | CAJA X 30. GYNOPHARMA;DIVALPROATO DE SODIO;405;870;0;;57330
D-SOY PROTEINA 275 GR POLVO PARA DISOLVER | CAJA X 24 TARROS. DUMIAN;COMPLEMENTO NUTRICIONAL;10;13;7;;1324
DUMISOY D 400g POLVO PARA DISOLVER | CAJA X 24 LATAS. DUMIAN MEDICAL S.A.S;COMPLEMENTO ALIMENTICIO PROTEINA AISLADA DE SOYA;23;0;46;;8
DUMISOY D DIABETICO 400g POLVO PARA DISOLVER | CAJA X 24 LATAS. DUMIAN MEDICAL S.A.S;COMPLEMENTO ALIMENTICIO PROTEINA AISLADA DE SOYA;41;13;69;;14
DUMISURE 1000g POLVO PARA DISOLVER | CAJA X 6. DUMIAN MEDICAL S.A.S;COMPLEMENTO NUTRICIONAL;163;281;45;;2154
DUODART 0.5MG/0.4MG C¡PSULA | CAJA X 30. GLAXO;DUTASTERIDE-TAMSULOSINA;60;30;90;;30
DUPHALAC 66.7g/100ml X 15ML SOBRE | CAJA X 20. ABBOTT;LACTULOSA;45;150;0;;4841
D-UREA 10% CREMA | TUBO X 60GR. DUMIAN;UREA;164;127;201;;2
DUROGESIC 75UG PARCHES | CAJA X 5. JANSSEN;FENTANILO CITRATO;5;15;0;;25
DUXETINA 30MG TABLETA | CAJA X 30. BUSSIE;DULOXETINA;0;30;0;;0
DUZIN C 500 GR CREMA | POTE X 1. DUMIAN MEDICAL S.A.S;ACEITE DE CALENDULA+OXIDO DE Z;7;23;0;;546
DYSPORT  500UI SOLUCION INYECTABLE | CAJA X 1. BIOPASS;TOXINA BOTULINICA;3;9;0;;17
EFAVIRENZ  600 MG TABLETA O GRAGEA | CAJA X 30. EUROPACK;EFAVIRENZ;735;1230;240;;17340
ELTROXIN 50MCG TABLETA | FRASCO X 50. ASPEN;LEVOTIROXINA SODICA;135;325;0;;770
ENALAPRIL 20mg TABLETA | CAJA X 20. GEN-FAR S.A;ENALAPRIL MALEATO;630;1210;50;;113730
ENALAPRIL 5MG TABLETA | CAJA X 50. GEN-FAR S.A;ENALAPRIL MALEATO;410;1080;0;;141590
ENDOL SR 10MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. LEGRAND;OXICODONA;433;270;596;;5340
ENDOL SR 20mg TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. LEGRAND;OXICODONA;145;250;40;;10860
ENEMA SOLUCION SALINA 2.5% REF:ARD0004X 12 RECTAL | BOLSA X 1000 ML. BAXTER;FOSFATO DE SODIO DIBASICO+MONO;73;79;67;;1068
ENEMATROL  16+6MG/133ML RECTAL | CAJA X 60. QUIBI S.A.;FOSFATO DE SODIO DIBASICO+MONO;6;26;0;;742
ENEMATROL LIMON 16+5G SOLUCION ORAL | FRASCO X 133ML. QUIBI S.A.;FOSFATO DE SODIO DIBASICO+MONO;129;155;103;;1028
ENOXPAR 40MG SOLUCION INYECTABLE | CAJA X 2. CHALVER;ENOXAPARINA;149;93;205;;14465
ENOXPAR 60MG SOLUCION INYECTABLE | CAJA X 2. CHALVER;ENOXAPARINA;188;30;346;;11982
ENOXPAR 80MG SOLUCION INYECTABLE | CAJA X 1. CHALVER;ENOXAPARINA;30;0;60;;1
ENSURE VAINILLA 900g POLVO PARA DISOLVER | CAJA X 6 LATAS. ABBOTT;COMPLEMENTO NUTRICIONAL;8;5;11;;54
EPAMIN 2.5MG SUSPENSION ORAL | FRASCO X 240ML. PFIZER;FENITOINA SODICA;1;2;0;;301
EPIGEL  250 MG/5ML JARABE | FRASCO X 120ML. CHALVER;VALPROICO ACIDO;47;0;94;;2614
EQUIPO CYSTOFLO ADULTO 2000ML MRD2926 C X30 1 UNIDAD | CAJA X 1. LABORATORIO BAXTER;EQUIPO ADMINISTRACION DE LIQUIDOS;4;2;6;;468
EQUIPO MACROGOTEO C/SITIO EN 2 Y MRC0005MP 1 UNIDAD | CAJA X 100. LABORATORIO BAXTER;EQUIPO ADMINISTRACION DE LIQUIDOS;62;42;82;;6880
EQUIPO MACROGOTEO S/A MEDISPO 1 UNIDAD | . X . PROTEX S.A;EQUIPO ADMINISTRACION DE LIQUIDOS;0;10;0;;23118
EQUIPO MACROGOTEO S/A REF:MRC0001MP 1 UNIDAD | CAJA X 180. LABORATORIO BAXTER;EQUIPO ADMINISTRACION DE LIQUIDOS;9;52;0;;32
EQUIPO NUTRIFLO 1500ML BOLSA  REF:BRD0202 CX40 1 UNIDAD | . X 1. LABORATORIO BAXTER;EQUIPO ADMINISTRACION DE LIQUIDOS;60;104;16;;1568
ERITROMAX 2000 U.I. / ML INYECTABLE | CAJA X 25. BLAU;ERITROPOYETINA;54;0;108;;0
ERITROMICINA 250MG/5ML SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A;ERITROMICINA;3;6;0;;78
ERITROMICINA 250MG/5ML SUSPENSION ORAL | FRASCO X 60ML. LA SANTE;ERITROMICINA;0;4;0;;46
ERITROMICINA 500MG TABLETA O CAPSULA | CAJA X 50. GEN-FAR S.A;ERITROMICINA;138;151;125;;14294
EROXIM 50MG TABLETA | CAJA X 4. LAFRANCOL;SILDENAFIL;135;321;0;;24
ESOMEPRAZOL 20mg CAPSULA | CAJA X 10. GEN-FAR S.A;ESOMEPRAZOL;6223;0;12446;;23620
ESOMEPRAZOL 20MG RETARD CAPSULA | CAJA X 300. GEN-FAR S.A;ESOMEPRAZOL;5245;10900;0;;308970
ESOMEPRAZOL 40MG RETARD TABLETA | CAJA X 10. GEN-FAR S.A;ESOMEPRAZOL;3160;4107;2213;;129290
ESPARADRAPO TELA 12pulg. X 10 MTS  C X 5 1 UNIDAD | . X 1. TECNOQUIMICAS S.A;CURACIONES QUIRURGICAS;1;2;0;;1
ESPARADRAPO TELA 12 X 10 BLANCO SURTIDO LEUKOPLAST --- 1 UNIDAD | CAJA X 24. BSN MEDICAL;CURACIONES QUIRURGICAS;2;4;0;;0
ESPIRONOLACTONA 25 MG TABLETA | CAJA X 20. WINTHROOP;ESPIRONOLACTONA;160;440;0;;463060
ESPIRONOLACTONA 25mg TABLETA | CAJA X 300. LAPROFF;ESPIRONOLACTONA;80;0;160;;75
ESTERMAX 6.25MG CREMA VAGINAL | TUBO X 40GR. CHALVER;ESTROGENOS CONJUGADOS;97;71;123;;2840
EUTIROX 100MCG TABLETA | CAJA X 50. MERCK;LEVOTIROXINA SODICA;165;195;135;;87010
EUTIROX 50mcg TABLETA | CAJA X 50. MERCK;LEVOTIROXINA SODICA;30;90;0;;60
EUTIROX 75MG TABLETA | CAJA X 50. MERCK;LEVOTIROXINA SODICA;0;70;0;;3619
EXELON 27MG/15CM SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS;RIVASTIGMINA;45;60;30;;690
EXELON 6.0MG CAPSULA | CAJA X 28. NOVARTIS;RIVASTIGMINA;84;140;28;;336
EXELON  9MG X 5CM2 SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS;RIVASTIGMINA;75;60;90;;1440
EXTENSIK 50MG TABLETA | CAJA X 56. NOVARTIS;RILUZOLE;0;168;0;;864
EXTENSION BOTON GASTROSTOMIA  REF. 0121-24 1 UNIDAD | . X 1. MINERVA MEDICAL S A S;TERAPIA RESPIRATORIA;1;3;0;;6
EXTENSION BOTON GASTROSTOMIA  REF: O123-24 1 UNIDAD | . X 1. MINERVA MEDICAL S A S;TERAPIA RESPIRATORIA;1;1;1;;4
EZETIMIBE/SIMBASTATINA 10/20MG TABLETA | CAJA X 14. TECNOQUIMICAS;SIMVASTATINA+EZETIMBA;0;42;0;;3812
EZETIMIBE/SIMVASTATINA 10/40MG TABLETA | CAJA X 14. TECNOQUIMICAS;SIMVASTATINA+EZETIMBA;42;70;14;;2422
FACETIX 2+0,035MG TABLETA | CAJA X 21. SYNTHESIS;ACETATOCIPROTERONA+ETILINESTRADIOL;546;1113;0;;4724
FARMALAX 5MG TABLETA RECUBIERTA | CAJA X 500. ECAR;BISACODILO;2111;3860;362;;274364
FENACOF  1% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;DICLOFENACO;0;5;0;;102
FENCAFEN 100MG/1MG TABLETA O CAPSULA | CAJA X 20. TECNOQUIMICAS;ERGOTAMINA+CAFEINA;3075;4991;1159;;224690
FENNYN 100 MG TABLETA | CAJA X 30. QUIRUPOS LTDA;FENITOINA SODICA;810;1560;60;;211570
FENOBARBITAL 100MG TABLETA | CAJA X 30. MINSALUD;FENOBARBITAL;90;0;180;;25
FENOBARBITAL ELIXIR 0.4% FRASCO | FRASCO X 120. MINSALUD;FENOBARBITAL;10;0;20;;0
FERBIN CL 250MG TABLETA O CAPSULA | CAJA X 300. NOVAMED;VALPROICO ACIDO;2243;6675;0;;287420
FERROVITAL F 180 ML JARABE | FRASCO X 1. TECNOQUIMICAS;MULTIVITAMINAS + MINERALES;0;4;0;;104
FEVENY ESTROGENOS 6.25 MG TABLETA | CAJA X 28. BCN;ESTROGENOS CONJUGADOS;255;385;125;;24382
FINASTERIDE 5MG TABLETA | CAJA X 28. TECNOQUIMICAS;FINASTERIDE;3597;6356;838;;73248
FITOSTIMOLINE . CREMA | TUBO X 32GR. EUROETIKA;TRITICUM VULGARE+2+FENOXIETANOL;6;11;1;;49
FIXAMICIN - SOLUCION OTICA | FRASCO X 15ml. TECNOQUIMICAS;COLISTINA SULFATO+HIDROCORTISONA+NEOMICINA SULFATO;0;4;0;;1127
FLEXIDRESS 4 X 10 <C>  REF: 650941U 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;11;16;6;;40
FLUAMAR 25/250Mcg AEROSOL | FRASCO X 120Dosis. BIOTOSCANA;FLUTICASONA+SALMETEROL;9;17;1;;520
FLUNARIZINA 10mg TABLETA | CAJA X 30. GEN-FAR S.A;FLUNARIZINA;345;490;200;;44195
FLUOFTAL 0.1% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;FLUOROMETALONA ACETATO;14;37;0;;4
FLUORHIDROCORTISONA 0.1MG TABLETA | FRASCO X 90. VARIOS E IMPORTADOS;FLUORHIDROCORTISONA;30;0;60;;0
FLUOXETINA 20mg TABLETA O CAPSULA | CAJA X 300. LAPROFF;FLUOXETINA CLOHIDRATO;3782;6806;758;;409892
FLUVIS 1%/1ml SOLUCION OFTALMICAS | FRASCO X 5ML. EUROPACK;FLUOROMETALONA ACETATO;0;7;0;;1929
FUNEX 200mg C¡PSULA | CAJA X 210. NOVAMED;FLUCONAZOL;460;888;32;;34654
FUNGISTRAL 50MG/5ML SUSPENSION ORAL | FRASCO X 150ML. EUROPACK;ITRACONAZOL;3;14;0;;118
FUROSEMIDA 40mg TABLETA | CAJA X 100. GEN-FAR S.A;FUROSEMIDA;643;1000;286;;584490
GALVUS MET 50/1000mg TABLETA CON RECUBIER | CAJA X 56. NOVARTIS;VILDAGLIPTINA+METFORMINA;113;168;58;;12600
GALVUS MET 50/500MG TABLETA CON RECUBIER | CAJA X 28. NOVARTIS;VILDAGLIPTINA+METFORMINA;56;84;28;;1702
GASPRID M 5MG TABLETA | CAJA X 30. GARMISCH;MOSAPRIDA;195;300;90;;96780
GEMFIBROZILO 600MG TABLETA | CAJA X 300. GEN-FAR S.A;GEMFIBROZILO;1095;1765;425;;175749
GENTAMICINA 0.1% CREMA | TUBO X 40G. PROCAPS;GENTAMICINA (SULFATO);2;5;0;;178
GENTAMICINA 160mg/2ml SOLUCION INYECTABLE | CAJA X 1. VITALIS;GENTAMICINA (SULFATO);49;133;0;;9214
GENTAMICINA 80MG/2ML SOLUCION INYECTABLE | CAJA X 100. PROCAPS;GENTAMICINA (SULFATO);1;12;0;;6564
GESLUTIN PNM 100mg CAPSULA | CAJA X 30. TECNOFARMA;PROGESTERONA;5;0;10;;7
GLAUCOPROST 0.004% SOLUCION OFTALMICAS | FRASCO X 3ML. SCANDINAVIA;TRAVOPROST;3;8;0;;278
GLIMEPIRIDA 2mg TABLETA | CAJA X 16. LA SANTE;GLIMEPIRIDA;9;0;18;;124
GLUCAGEN 1MG SOLUCION INYECTABLE | CAJA X 1. NOVONORDISK;GLUCAGON HUMANO ADN;1;2;0;;4
GLUCOMETRO ON CALL ADVANCED 1 UNIDAD | CAJA X 1. DUMIAN MEDICAL S.A.S;TIRAS REACTIVAS;1;1;1;;0
GLUCOVANCE 500/2.5MG TABLETA | CAJA X 30. MERCK;METFORMINA+GLIBENCLAMIDA;30;120;0;;600
GLUCOX 2mg TABLETA | CAJA X 15. GARMISCH;GLIMEPIRIDA;81;288;0;;152085
GLUCOX 4MG TABLETA | CAJA X 30. GARMISCH;GLIMEPIRIDA;240;510;0;;136460
GLYTROL TETRA PRISMA 1CAL 250ML SUSPENSION ORAL | CAJA X 24. BAXTER;NUTRICION ENTERAL;15;30;0;;0
GUANTE EXAMEN TALLA L      MADHOS 1 UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;GUANTES QUIRURGICOS;700;700;700;;36600
GUANTE EXAMEN TALLA M     MADHOS  1 UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;GUANTES QUIRURGICOS;3100;3204;2996;;170600
GUAYACOLATO DE GLICERIO 2% JARABE | FRASCO X 120ML. LAPROFF;GUAYACOLATO DE GLICERIO;40;81;0;;0
HALOPERIDOL 10MG TABLETA | CAJA X 100. HUMAX;HALOPERIDOL;120;115;125;;16090
HALOPERIDOL 2% SOLUCION ORAL | FRASCO X 20ml. HUMAX;HALOPERIDOL;7;9;5;;505
HALOPERIDOL 5MG TABLETA | CAJA X 100. HUMAX;HALOPERIDOL;85;100;70;;8359
HARMETONE 10MG TABLETA | CAJA X 20. JANSSEN;DOMPERIDONA;90;100;80;;340
HARMETONE 1MG/ML SUSPENSION ORAL | FRASCO X 60ML. JANSSEN;DOMPERIDONA;14;25;3;;5
HCQS  200MG TABLETA | CAJA X 30. IPCA;HIDROXICLOROQUINA;754;423;1085;;308
HEPA-MERZ 3g POLVO PARA DISOLVER | CAJA X 10. BIOPASS;LORNITINA LASFORTO;120;250;0;;1960
HIDERAX 100mg/2ml SOLUCION INYECTABLE | CAJA X 1. LAFRANCOL;HIDROXICINA;0;5;0;;2614
HIDROCLOROTIAZIDA 25MG TABLETA | CAJA X 30. GEN-FAR S.A;HIDROCLOROTIAZIDA;878;1825;0;;1044250
HIDROCORTISONA 1% CREMA | TUBO X 15g. LAFRANCOL;HIDROCORTISONA ACETATO;55;86;24;;4094
HIDROXICINA 25 MG TABLETA | CAJA X 20. COASPHARMA;HIDROXICINA;1241;423;2059;;13660
HIDROXICINA 25mg TABLETA | CAJA X 20. GEN-FAR S.A;HIDROXICINA;29;43;15;;24532
HIDROXICINA JARABE 250mg/5ml FRASCO | FRASCO X 120ML. GEN-FAR S.A;HIDROXICINA;1;6;0;;584
HIDROXIDO ALUMINIO+SIMEITICONA+MAGNESIO HIDROXIDO 6,15 MG/100ML JARABE | FRASCO X 360ML. GRUFARMA;ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA;212;369;55;;702
HIOSCINA BUTIL BROMURO 20MG/1ML SOLUCION INYECTABLE | CAJA X 100. PROCAPS;HIOSCINA BUTILBROMURO;5;0;10;;10
HIPERTON 5% SOLUCION OFTALMICAS | FRASCO X 10ML. QUIFARMED;SOLUCION SALINA HIPERTONICA;1;2;0;;0
HUMALOG 100UI/10ml SOLUCION INYECTABLE | CAJA X 1. LILLY;INSULINA ANALOGA DE ACCION CORTA;8;10;6;;123
HUMALOG 3 ML CARTUCHO SOLUCION INYECTABLE | CAJA X 5. LILLY;INSULINA ANALOGA DE ACCION CORTA;7;0;14;;15
HUMALOG KWIWPEN 3ML SOLUCION INYECTABLE | CAJA X 1. LILLY;INSULINA ANALOGA DE ACCION CORTA;0;1;0;;0
HUMYLUB OFTENO 1+1.8 MG SOLUCION OFTALMICAS | FRASCO X 15ML. SOPHIA;CONDROITIN+HIALURONATO;3;7;0;;20
HYZAAR FORTE 100/25MG TABLETA | CAJA X 30. FROSST O MSD;LOSARTAN + HIDROCLOROTIAZIDA;30;30;30;;210
IBUPROFENO 100 MG/5 ML JARABE | FRASCO X 120 ML. JQ LABORATORIOS;IBUPROFENO;0;6;0;;8
IBUPROFENO 400mg TABLETA | CAJA X 100. GEN-FAR S.A;IBUPROFENO;504;1058;0;;238005
ILOTICINA 2% LOCION | FRASCO X 60ML. TECNOQUIMICAS;ERITROMICINA;22;28;16;;1483
IMIPRAMINA 25MG TABLETA RECUBIERTA | CAJA X 100. HUMAX;IMIPRAMINA;780;1430;130;;101504
INFLABON 200MCG BUCAL FRASCO | FRASCO X 200DOSIS. CHALVER;BUDESONIDA;2;4;0;;908
INFLABON 50MCG BUCAL FRASCO | FRASCO X 200DOSIS. CHALVER;BUDESONIDA;1;3;0;;1072
INMOX 30MG TABLETA | CAJA X 14. TECNOQUIMICAS;DULOXETINA;29;12;46;;1332
INMOX 60MG TABLETA | CAJA X 14. TECNOQUIMICAS;DULOXETINA;56;0;112;;4004
INMUNORHO ANTI D 300mcg SOLUCION INYECTABLE | FRASCO X 10mL. VITALIS;INMUNOGLOBULINA ANTI-D RHO;1;0;2;;2
INTELENCE 200 MG TABLETA | CAJA X 60. JANSSEN;ETRAVIRIINA;150;360;0;;840
ION-K ELIXIR 31.2% ELIXIR | FRASCO X 180mL. ANGLOPHARMA;GLUCONATO DE POTASIO;1;2;0;;4212
IOR-EPOCIM 2000UI INYECTABLE | CAJA X 10. DELTA;ERITROPOYETINA;52;116;0;;1438
ISENTRESS 400MG TABLETA CON RECUBIER | FRASCO X 60. FROSST O MSD;RALTEGRAVIR;180;120;240;;540
ISOCONAZOL 1% CREMA | TUBO X 20GR. GEN-FAR S.A;ISOCONAZOL;10;13;7;;1720
ISOCONAZOL 1% SOLUCION TOPICA | FRASCO X 20ML. GEN-FAR S.A;ISOCONAZOL;32;68;0;;1289
ISONIAZIDA 100MG TABLETA O CAPSULA | CAJA X 100. VESALIUS PHARMA S.A.S;ISONIAZIDA;71;100;42;;300
ISONIAZIDA 300MG TABLETA O CAPSULA | CAJA X 100. VESALIUS PHARMA S.A.S;ISONIAZIDA;60;55;65;;100
ISOPTO ATROPINA 1% SOLUCION OFTALMICAS | FRASCO X 5mL. ALCON;ATROPINA SULFATO;2;0;4;;72
ISOPTO MAXIDEX 1% SOLUCION OFTALMICAS | FRASCO X 5mL. ALCON;DEXAMETASONA;3;5;1;;103
IVERMECTINA 0.6% SOLUCION ORAL | FRASCO X 5ML. GEN-FAR S.A;IVERMECTINA;11;18;4;;237
JANUMET 50/1000MG TABLETA | CAJA X 28. FROSST O MSD;SITAGLIPTINA+METFORMINA;0;56;0;;2128
JANUMET 50/1000MG TABLETA | CAJA X 56. FROSST O MSD;SITAGLIPTINA+METFORMINA;310;168;452;;7560
JANUMET 50/500MG TABLETA | CAJA X 56. FROSST O MSD;SITAGLIPTINA+METFORMINA;56;168;0;;3976
JANUMET  50/850MG TABLETA | CAJA X 56. FROSST O MSD;SITAGLIPTINA+METFORMINA;56;56;56;;6048
JANUVIA 100MG TABLETA | CAJA X 28. FROSST O MSD;SITAGLIPTINA;98;140;56;;2912
JANUVIA 50MG TABLETA | CAJA X 28. FROSST O MSD;SITAGLIPTINA;84;84;84;;3692
JERINGA 10 ML C/A 21 1/2 MEDISPO 1 UNIDAD | CAJA X . PROTEX S.A;JERINGAS QUIRURGICAS;44;55;33;;1268
JERINGA 10 ML C/A 21G X 1 1/2 MADHOS 1 UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;JERINGAS QUIRURGICAS;0;100;0;;31210
JERINGA 10 ML C/A 21 X 1 1/2 3PTS 1 UNIDAD | CAJA X 1. ETERNA;JERINGAS QUIRURGICAS;9;0;18;;16
JERINGA 1 ML C/A 27 REMOVIBLE 1 UNIDAD | CAJA X 100. ETERNA;JERINGAS QUIRURGICAS;38;15;61;;0
JERINGA 1 ML C/A 30G X 1/2     CX100 30G UNIDAD | CAJA X 1. DUMIAN MEDICAL S.A.S;JERINGAS QUIRURGICAS;0;140;0;;43960
JERINGA 1 ML INSULINA AGUJA FIJA 1ML UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;JERINGAS QUIRURGICAS;0;1;0;;0
JERINGA 3 ML CA 21 X 1.1/2 MADHOS UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;JERINGAS QUIRURGICAS;0;28;0;;14028
JERINGA 50 ML C/A 21 X 1 1/2  CX30 1 UNIDAD | CAJA X 1. ETERNA;JERINGAS QUIRURGICAS;6;0;12;;0
JERINGA 5 ML C/A 21 X 1 1/2 MADHOS 1 UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;JERINGAS QUIRURGICAS;0;50;0;;0
JERINGA 5 ML C/A 21 X 1 1/2 MADHOS 1 UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;JERINGAS QUIRURGICAS;42;259;0;;24040
